Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,Predicted,Cycles
-11292,-248136,118476.25,-129659.75,171.6049342,690.4011854,-0.831282568,-1.202960388,1.816845225,0.487585521,487443.03,487585.5205
-11183.5,-248000.5,118462.75,-129537.75,171.4444079,690.9688771,-0.831266071,-1.202984261,1.81833915,0.487096709,486962.5,487096.7087
-11075,-247865,118449.25,-129415.75,171.2838816,691.5376328,-0.831249573,-1.203008137,1.819835876,0.486607861,486481.88,486607.8611
-10966.5,-247729.5,118435.75,-129293.75,171.1233553,692.1074556,-0.831233073,-1.203032017,1.821335409,0.486118978,486001.38,486118.9779
-10858,-247594,118422.25,-129171.75,170.9628289,692.6783484,-0.831216571,-1.203055901,1.822837759,0.485630059,485520.88,485630.0592
-10749.5,-247458.5,118408.75,-129049.75,170.8023026,693.2503144,-0.831200067,-1.203079788,1.824342933,0.485141105,485040.25,485141.105
-10641,-247323,118395.25,-128927.75,170.6417763,693.8233565,-0.831183561,-1.203103679,1.825850938,0.484652115,484559.72,484652.1155
-10532.5,-247187.5,118381.75,-128805.75,170.48125,694.3974777,-0.831167053,-1.203127574,1.827361783,0.484163091,484079.16,484163.0907
-10424,-247052,118368.25,-128683.75,170.3207237,694.9726812,-0.831150543,-1.203151472,1.828875477,0.483674031,483598.56,483674.0308
-10315.5,-246916.5,118354.75,-128561.75,170.1601974,695.5489699,-0.831134032,-1.203175374,1.830392026,0.483184936,483118.03,483184.9359
-10207,-246781,118341.25,-128439.75,169.9996711,696.126347,-0.831117519,-1.20319928,1.831911439,0.482695806,482637.44,482695.806
-10098.5,-246645.5,118327.75,-128317.75,169.8391447,696.7048155,-0.831101003,-1.20322319,1.833433725,0.482206641,482156.84,482206.6413
-9990,-246510,118314.25,-128195.75,169.6786184,697.2843786,-0.831084486,-1.203247103,1.834958891,0.481717442,481676.3,481717.4418
-9881.5,-246374.5,118300.75,-128073.75,169.5180921,697.8650392,-0.831067967,-1.203271019,1.836486945,0.481228208,481195.75,481228.2077
-9773,-246239,118287.25,-127951.75,169.3575658,698.4468007,-0.831051446,-1.20329494,1.838017897,0.480738939,480715.22,480738.939
-9664.5,-246103.5,118273.75,-127829.75,169.1970395,699.0296661,-0.831034923,-1.203318864,1.839551753,0.480249636,480234.6,480249.6358
-9556,-245968,118260.25,-127707.75,169.0365132,699.6136384,-0.831018399,-1.203342792,1.841088522,0.479760298,479754.06,479760.2984
-9447.5,-245832.5,118246.75,-127585.75,168.8759868,700.198721,-0.831001872,-1.203366723,1.842628213,0.479270927,479273.47,479270.9267
-9339,-245697,118233.25,-127463.75,168.7154605,700.784917,-0.830985344,-1.203390659,1.844170834,0.478781521,478792.88,478781.5208
