,Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,XGBOOST
0,-72920.0,-325100.0,126144.25,-198955.75,262.7838815789474,480.03039319633024,-0.8403612874524657,-1.1899643819046866,1.263237876832448,0.7572447991690343,755908.8
1,-72811.5,-324964.5,126130.75,-198833.75,262.6233552631579,480.2724033192422,-0.8403457938429489,-1.1899863214962298,1.2638747455769532,0.7567868695788562,755908.8
2,-72703.0,-324829.0,126117.25,-198711.75,262.4628289473684,480.5147094764046,-0.8403302985750345,-1.1900082642452863,1.2645123933589595,0.7563288736671158,755908.8
3,-72594.5,-324693.5,126103.75,-198589.75,262.3023026315789,480.75731221132713,-0.8403148016483676,-1.1900302101526627,1.2651508216087557,0.7558708114587419,755628.94
4,-72486.0,-324558.0,126090.25,-198467.75,262.14177631578946,481.0002120688509,-0.8402993030625929,-1.190052159219167,1.2657900317601338,0.7554126829787315,755209.2
5,-72377.5,-324422.5,126076.75,-198345.75,261.98125,481.24340959515234,-0.8402838028173553,-1.1900741114456073,1.2664300252504008,0.7549544882521485,755209.2
6,-72269.0,-324287.0,126063.25,-198223.75,261.8207236842105,481.48690533774743,-0.8402683009122991,-1.190096066832792,1.267070803520388,0.7544962273041248,754321.06
7,-72160.5,-324151.5,126049.75,-198101.75,261.66019736842105,481.7306998454957,-0.8402527973470689,-1.1901180253815293,1.2677123680144624,0.75403790015986,754321.06
8,-72052.0,-324016.0,126036.25,-197979.75,261.4996710526316,481.97479366860426,-0.8402372921213092,-1.1901399870926286,1.2683547201805376,0.7535795068446224,753438.8
9,-71943.5,-323880.5,126022.75,-197857.75,261.3391447368421,482.2191873586323,-0.8402217852346642,-1.1901619519668984,1.268997861470085,0.7531210473837473,752955.56
10,-71835.0,-323745.0,126009.25,-197735.75,261.17861842105265,482.4638814684949,-0.8402062766867778,-1.190183920005149,1.2696417933381445,0.7526625218026385,752561.44
11,-71726.5,-323609.5,125995.75,-197613.75,261.0180921052632,482.7088765524672,-0.8401907664772944,-1.1902058912081894,1.2702865172433346,0.7522039301267693,752094.0
12,-71618.0,-323474.0,125982.25,-197491.75,260.8575657894737,482.9541731661889,-0.8401752546058577,-1.1902278655768304,1.2709320346478656,0.7517452723816793,751580.44
13,-71509.5,-323338.5,125968.75,-197369.75,260.6970394736842,483.19977186666824,-0.8401597410721117,-1.1902498431118815,1.271578347017548,0.7512865485929788,751138.9
14,-71401.0,-323203.0,125955.25,-197247.75,260.5365131578947,483.4456732122859,-0.8401442258756997,-1.1902718238141545,1.272225455821805,0.7508277587863459,751138.9
15,-71292.5,-323067.5,125941.75,-197125.75,260.37598684210525,483.6918777628,-0.8401287090162657,-1.1902938076844594,1.2728733625336843,0.7503689029875271,750262.8
16,-71184.0,-322932.0,125928.25,-197003.75,260.2154605263158,483.93838607934975,-0.8401131904934528,-1.1903157947236078,1.2735220686298678,0.7499099812223391,749786.7
17,-71075.5,-322796.5,125914.75,-196881.75,260.0549342105263,484.1851987244598,-0.8400976703069045,-1.1903377849324115,1.2741715755906837,0.7494509935166667,749386.06
18,-70967.0,-322661.0,125901.25,-196759.75,259.89440789473684,484.43231626204465,-0.840082148456264,-1.190359778311682,1.2748218849001176,0.7489919398964644,748868.8
19,-70858.5,-322525.5,125887.75,-196637.75,259.7338815789474,484.679739257413,-0.8400666249411746,-1.1903817748622316,1.2754729980458237,0.7485328203877558,748570.25
20,-70750.0,-322390.0,125874.25,-196515.75,259.5733552631579,484.92746827727177,-0.8400510997612789,-1.1904037745848728,1.2761249165191362,0.7480736350166346,748570.25
21,-70641.5,-322254.5,125860.75,-196393.75,259.41282894736844,485.1755038897307,-0.8400355729162202,-1.1904257774804181,1.2767776418150807,0.7476143838092633,747359.44
22,-70533.0,-322119.0,125847.25,-196271.75,259.25230263157897,485.4238466643066,-0.8400200444056409,-1.1904477835496812,1.2774311754323857,0.7471550667918749,747359.44
23,-70424.5,-321983.5,125833.75,-196149.75,259.09177631578945,485.6724971719278,-0.8400045142291839,-1.1904697927934749,1.278085518873494,0.7466956839907718,746738.6
24,-70316.0,-321848.0,125820.25,-196027.75,258.93125,485.9214559849381,-0.8399889823864917,-1.1904918052126128,1.278740673644574,0.7462362354323268,745980.06
25,-70207.5,-321712.5,125806.75,-195905.75,258.7707236842105,486.17072367710193,-0.8399734488772066,-1.190513820807909,1.2793966412555313,0.745776721142983,745859.56
26,-70099.0,-321577.0,125793.25,-195783.75,258.61019736842104,486.420300823608,-0.839957913700971,-1.1905358395801777,1.280053423220021,0.7453171411492535,745050.6
27,-69990.5,-321441.5,125779.75,-195661.75,258.4496710526316,486.6701880010742,-0.839942376857427,-1.1905578615302337,1.2807110210554584,0.7448574954777216,744844.44
28,-69882.0,-321306.0,125766.25,-195539.75,258.2891447368421,486.92038578755194,-0.8399268383462168,-1.1905798866588915,1.2813694362830315,0.7443977841550417,744221.25
29,-69773.5,-321170.5,125752.75,-195417.75,258.12861842105264,487.1708947625304,-0.8399112981669823,-1.1906019149669667,1.2820286704277115,0.7439380072079387,744174.3
30,-69665.0,-321035.0,125739.25,-195295.75,257.96809210526317,487.42171550694127,-0.8398957563193653,-1.1906239464552741,1.2826887250182666,0.7434781646632082,744174.3
31,-69556.5,-320899.5,125725.75,-195173.75,257.8075657894737,487.672848603163,-0.8398802128030077,-1.1906459811246297,1.283349601587271,0.7430182565477171,743180.06
32,-69448.0,-320764.0,125712.25,-195051.75,257.64703947368423,487.9242946350257,-0.839864667617551,-1.1906680189758498,1.2840113016711203,0.742558282888403,742247.8
33,-69339.5,-320628.5,125698.75,-194929.75,257.48651315789476,488.1760541878151,-0.8398491207626365,-1.1906900600097508,1.2846738268100397,0.7420982437122752,742247.8
34,-69231.0,-320493.0,125685.25,-194807.75,257.32598684210524,488.4281278482777,-0.8398335722379058,-1.190712104227149,1.2853371785480991,0.7416381390464137,741255.0
35,-69122.5,-320357.5,125671.75,-194685.75,257.16546052631577,488.6805162046246,-0.8398180220430003,-1.190734151628861,1.2860013584332226,0.7411779689179712,741255.0
36,-69014.0,-320222.0,125658.25,-194563.75,257.0049342105263,488.9332198465369,-0.8398024701775608,-1.1907562022157048,1.2866663680172024,0.7407177333541706,739989.9
37,-68905.5,-320086.5,125644.75,-194441.75,256.84440789473683,489.1862393651696,-0.8397869166412286,-1.1907782559884976,1.2873322088557095,0.7402574323823077,739989.9
38,-68797.0,-319951.0,125631.25,-194319.75,256.68388157894736,489.43957535315684,-0.8397713614336446,-1.190800312948057,1.2879988825083075,0.7397970660297498,739630.2
39,-68688.5,-319815.5,125617.75,-194197.75,256.5233552631579,489.69322840461587,-0.8397558045544495,-1.1908223730952017,1.2886663905384628,0.7393366343239361,739307.75
40,-68580.0,-319680.0,125604.25,-194075.75,256.3628289473684,489.9471991151521,-0.839740246003284,-1.1908444364307498,1.2893347345135582,0.7388761372923784,738742.9
41,-68471.5,-319544.5,125590.75,-193953.75,256.20230263157896,490.2014880818637,-0.8397246857797886,-1.1908665029555203,1.2900039160049046,0.7384155749626605,738695.56
42,-68363.0,-319409.0,125577.25,-193831.75,256.04177631578943,490.45609590334647,-0.8397091238836041,-1.1908885726703318,1.2906739365877538,0.7379549473624386,738695.56
43,-68254.5,-319273.5,125563.75,-193709.75,255.88125,490.71102317969763,-0.8396935603143706,-1.1909106455760037,1.2913447978413095,0.7374942545194422,737212.94
44,-68146.0,-319138.0,125550.25,-193587.75,255.72072368421053,490.966270512522,-0.8396779950717282,-1.1909327216733558,1.2920165013487421,0.7370334964614726,737212.94
45,-68037.5,-319002.5,125536.75,-193465.75,255.56019736842106,491.2218385049356,-0.8396624281553172,-1.1909548009632083,1.292689048697199,0.7365726732164047,735695.3
46,-67929.0,-318867.0,125523.25,-193343.75,255.3996710526316,491.4777277615708,-0.8396468595647775,-1.1909768834463812,1.293362441477818,0.7361117848121861,735695.3
47,-67820.5,-318731.5,125509.75,-193221.75,255.2391447368421,491.73393888858106,-0.839631289299749,-1.190998969123695,1.2940366812857396,0.7356508312768374,735574.44
48,-67712.0,-318596.0,125496.25,-193099.75,255.07861842105262,491.99047249364554,-0.8396157173598714,-1.1910210579959708,1.2947117697201198,0.7351898126384532,735103.9
49,-67603.5,-318460.5,125482.75,-192977.75,254.91809210526316,492.24732918597437,-0.8396001437447845,-1.1910431500640293,1.295387708384143,0.7347287289252007,735076.0
50,-67495.0,-318325.0,125469.25,-192855.75,254.7575657894737,492.5045095763129,-0.8395845684541278,-1.1910652453286923,1.2960644988850338,0.7342675801653212,735076.0
51,-67386.5,-318189.5,125455.75,-192733.75,254.59703947368422,492.7620142769469,-0.8395689914875405,-1.1910873437907816,1.2967421428340709,0.7338063663871295,733311.6
52,-67278.0,-318054.0,125442.25,-192611.75,254.43651315789472,493.0198439017075,-0.8395534128446621,-1.191109445451119,1.2974206418465986,0.7333450876190145,733311.6
53,-67169.5,-317918.5,125428.75,-192489.75,254.27598684210525,493.2779990659755,-0.8395378325251317,-1.1911315503105273,1.2980999975420409,0.7328837438894389,733311.6
54,-67061.0,-317783.0,125415.25,-192367.75,254.1154605263158,493.53648038668706,-0.8395222505285884,-1.1911536583698288,1.2987802115439133,0.7324223352269397,731440.7
55,-66952.5,-317647.5,125401.75,-192245.75,253.95493421052632,493.795288482338,-0.8395066668546712,-1.1911757696298464,1.2994612854798369,0.7319608616601279,731440.7
56,-66844.0,-317512.0,125388.25,-192123.75,253.79440789473685,494.0544239729889,-0.8394910815030189,-1.1911978840914035,1.3001432209815498,0.7314993232176893,731440.7
57,-66735.5,-317376.5,125374.75,-192001.75,253.63388157894738,494.3138874802703,-0.8394754944732701,-1.1912200017553236,1.3008260196849217,0.7310377199283843,731368.75
58,-66627.0,-317241.0,125361.25,-191879.75,253.47335526315788,494.57367962738743,-0.8394599057650634,-1.191242122622431,1.3015096832299669,0.7305760518210471,730213.5
59,-66518.5,-317105.5,125347.75,-191757.75,253.31282894736842,494.833801039125,-0.8394443153780373,-1.1912642466935495,1.3021942132608553,0.7301143189245881,730213.5
60,-66410.0,-316970.0,125334.25,-191635.75,253.15230263157895,495.09425234185267,-0.8394287233118304,-1.1912863739695034,1.302879611425928,0.7296525212679923,729518.5
61,-66301.5,-316834.5,125320.75,-191513.75,252.99177631578948,495.35503416352987,-0.8394131295660806,-1.191308504451118,1.30356587937771,0.729190658880319,729518.5
62,-66193.0,-316699.0,125307.25,-191391.75,252.83125,495.6161471337107,-0.8393975341404262,-1.1913306381392181,1.3042530187729229,0.7287287317907037,729518.5
63,-66084.5,-316563.5,125293.75,-191269.75,252.67072368421051,495.8775918835493,-0.8393819370345051,-1.191352775034629,1.3049410312724983,0.728266740028357,727671.44
64,-65976.0,-316428.0,125280.25,-191147.75,252.51019736842105,496.1393690458046,-0.8393663382479555,-1.1913749151381765,1.305629918541591,0.7278046836225653,727671.44
65,-65867.5,-316292.5,125266.75,-191025.75,252.34967105263158,496.4014792548456,-0.8393507377804147,-1.191397058450687,1.3063196822495937,0.7273425626026904,727671.44
66,-65759.0,-316157.0,125253.25,-190903.75,252.1891447368421,496.66392314665654,-0.8393351356315208,-1.1914192049729861,1.3070103240701487,0.7268803769981702,727301.44
67,-65650.5,-316021.5,125239.75,-190781.75,252.02861842105264,496.92670135884214,-0.8393195318009111,-1.1914413547059008,1.3077018456811635,0.7264181268385185,727301.44
68,-65542.0,-315886.0,125226.25,-190659.75,251.86809210526314,497.1898145306323,-0.8393039262882231,-1.191463507650258,1.308394248764822,0.7259558121533252,727301.44
69,-65433.5,-315750.5,125212.75,-190537.75,251.70756578947368,497.4532633028878,-0.8392883190930941,-1.1914856638068851,1.3090875350075994,0.7254934329722567,724813.7
70,-65325.0,-315615.0,125199.25,-190415.75,251.5470394736842,497.7170483181052,-0.8392727102151613,-1.1915078231766092,1.3097817061002768,0.7250309893250559,724813.7
71,-65216.5,-315479.5,125185.75,-190293.75,251.38651315789474,497.98117022042226,-0.8392570996540616,-1.1915299857602586,1.3104767637379533,0.7245684812415418,724813.7
72,-65108.0,-315344.0,125172.25,-190171.75,251.22598684210527,498.245629655623,-0.8392414874094324,-1.191552151558661,1.3111727096200605,0.724105908751611,724813.7
73,-64999.5,-315208.5,125158.75,-190049.75,251.0654605263158,498.5104272711431,-0.8392258734809099,-1.1915743205726452,1.3118695454503766,0.7236432718852359,724813.7
74,-64891.0,-315073.0,125145.25,-189927.75,250.9049342105263,498.7755637160751,-0.8392102578681314,-1.1915964928030398,1.3125672729370397,0.7231805706724671,722106.44
75,-64782.5,-314937.5,125131.75,-189805.75,250.74440789473684,499.0410396411737,-0.8391946405707333,-1.1916186682506738,1.3132658937925623,0.7227178051434315,722106.44
76,-64674.0,-314802.0,125118.25,-189683.75,250.58388157894737,499.3068556988612,-0.8391790215883519,-1.1916408469163766,1.3139654097338453,0.7222549753283337,722106.44
77,-64565.5,-314666.5,125104.75,-189561.75,250.4233552631579,499.5730125432327,-0.8391634009206239,-1.191663028800978,1.3146658224821914,0.7217920812574558,722106.44
78,-64457.0,-314531.0,125091.25,-189439.75,250.26282894736843,499.83951083006156,-0.8391477785671853,-1.1916852139053078,1.31536713376332,0.7213291229611575,722106.44
79,-64348.5,-314395.5,125077.75,-189317.75,250.10230263157894,500.10635121680474,-0.8391321545276723,-1.1917074022301963,1.3160693453073808,0.7208661004698762,719873.3
80,-64240.0,-314260.0,125064.25,-189195.75,249.94177631578947,500.37353436260815,-0.8391165288017209,-1.1917295937764742,1.3167724588489689,0.7204030138141274,719873.3
81,-64131.5,-314124.5,125050.75,-189073.75,249.78125,500.6410609283123,-0.8391009013889672,-1.1917517885449722,1.3174764761271376,0.7199398630245046,719873.3
82,-64023.0,-313989.0,125037.25,-188951.75,249.62072368421053,500.9089315764574,-0.8390852722890467,-1.1917739865365218,1.3181813988854143,0.7194766481316796,719873.3
83,-63914.5,-313853.5,125023.75,-188829.75,249.46019736842106,501.1771469712893,-0.839069641501595,-1.1917961877519543,1.3188872288718139,0.7190133691664025,719329.94
84,-63806.0,-313718.0,125010.25,-188707.75,249.29967105263157,501.4457077787645,-0.8390540090262479,-1.1918183921921017,1.319593967838854,0.7185500261595013,719329.94
85,-63697.5,-313582.5,124996.75,-188585.75,249.1391447368421,501.71461466655575,-0.8390383748626409,-1.1918405998577957,1.3203016175435678,0.7180866191418844,719329.94
86,-63589.0,-313447.0,124983.25,-188463.75,248.97861842105263,501.98386830405803,-0.8390227390104089,-1.1918628107498692,1.321010179747521,0.7176231481445374,719329.94
87,-63480.5,-313311.5,124969.75,-188341.75,248.81809210526316,502.2534693623935,-0.8390071014691874,-1.1918850248691548,1.321719656216825,0.7171596131985255,716095.2
88,-63372.0,-313176.0,124956.25,-188219.75,248.6575657894737,502.52341851441753,-0.8389914622386115,-1.1919072422164854,1.3224300487221514,0.7166960143349932,716095.2
89,-63263.5,-313040.5,124942.75,-188097.75,248.4970394736842,502.79371643472405,-0.838975821318316,-1.1919294627926944,1.3231413590387475,0.7162323515851639,716095.2
90,-63155.0,-312905.0,124929.25,-187975.75,248.33651315789473,503.0643637996511,-0.8389601787079358,-1.1919516865986155,1.3238535889464502,0.715768624980341,716095.2
91,-63046.5,-312769.5,124915.75,-187853.75,248.17598684210526,503.33536128728684,-0.8389445344071055,-1.1919739136350829,1.324566740229702,0.715304834551907,716095.2
92,-62938.0,-312634.0,124902.25,-187731.75,248.0154605263158,503.6067095774749,-0.8389288884154598,-1.1919961439029305,1.3252808146775654,0.7148409803313241,713715.94
93,-62829.5,-312498.5,124888.75,-187609.75,247.85493421052632,503.87840935182,-0.8389132407326333,-1.192018377402993,1.325995814083737,0.7143770623501351,713715.94
